state,county,cases,deaths
New York,Niagara,845,39
Minnesota,Dakota,841,25
Maryland,Wicomico,839,21
Louisiana,St. John the Baptist,831,77
Kentucky,Warren,828,3
Iowa,Marshall,817,7
Virginia,Richmond city,811,19
Nebraska,Dawson,810,7
Oklahoma,Tulsa,802,37
New Jersey,Unknown,802,0
Washington,Benton,801,58
Iowa,Dallas,795,11
Texas,Brazoria,795,11
Mississippi,Hinds,786,22
New York,Oneida,785,38
Oklahoma,Texas,784,4
Idaho,Ada,783,23
Kansas,Seward,780,1
Massachusetts,Hampshire,780,73
Connecticut,Tolland,770,54
Tennessee,Sumner,768,41
Florida,Polk,766,45
Louisiana,Ascension,762,50
Louisiana,Lafourche,750,64
Georgia,Cherokee,745,26
Louisiana,Tangipahoa,742,30
Michigan,Kalamazoo,739,44
Indiana,Elkhart,738,25
North Carolina,Forsyth,736,7
Arizona,Pinal,720,32
Florida,Escambia,719,21
Arkansas,Pulaski,713,25
Missouri,St. Charles,712,53
Maryland,Carroll,712,69
Maryland,Harford,712,35
California,San Joaquin,709,33
Texas,Galveston,706,31
Virginia,Accomack,701,9
Virginia,Manassas city,680,5
Kansas,Johnson,666,57
Colorado,Douglas,654,42
Michigan,Ingham,650,23
Texas,Cameron,649,30
Virginia,Harrisonburg city,647,21
Pennsylvania,Franklin,644,27
Oregon,Washington,644,15
Ohio,Butler,639,17
Alabama,Marshall,638,9
New York,Schenectady,631,27
Florida,Osceola,629,17
Texas,Lubbock,624,50
Texas,Randall,616,5
Louisiana,St. Charles,615,42
Florida,Volusia,612,30
Georgia,Henry,611,19
Ohio,Lorain,610,58
Ohio,Stark,610,79
Tennessee,Bledsoe,607,1
Louisiana,Lafayette,605,23
Illinois,Kendall,602,22
Mississippi,Lauderdale,602,46
North Carolina,Robeson,600,12
Kentucky,Fayette,596,12
Illinois,Rock Island,594,21
California,Stanislaus,593,26
Louisiana,Terrebonne,591,44
Washington,Franklin,587,18
Texas,Moore,575,12
Colorado,Morgan,574,35
Iowa,Johnson,574,7
Michigan,Ottawa,573,25
Colorado,Eagle,571,8
Indiana,Madison,562,66
Mississippi,Madison,561,17
North Carolina,Rowan,560,27
Virginia,Virginia Beach city,559,19
Mississippi,Scott,550,10
Wisconsin,Dane,548,25
South Carolina,Florence,547,29
Missouri,Buchanan,543,2
North Carolina,Chatham,541,24
Pennsylvania,Cumberland,540,42
Kansas,Sedgwick,538,20
Michigan,Berrien,538,33
Pennsylvania,Schuylkill,534,21
Pennsylvania,Beaver,534,70
Florida,Sarasota,533,63
Nebraska,Colfax,532,1
Iowa,Muscatine,531,33
Ohio,Montgomery,531,13
Louisiana,Iberville,528,38
Louisiana,Calcasieu,521,40
Michigan,Muskegon,519,25
New Jersey,Cape May,518,42
Louisiana,St. Bernard,516,20
South Carolina,Lexington,516,28
South Carolina,Charleston,515,11
Idaho,Blaine,509,5
Colorado,Larimer,508,21
Louisiana,Rapides,504,15
Texas,Williamson,501,20
Virginia,Stafford,501,4
North Carolina,Cumberland,500,13
Illinois,Madison,499,45
New Mexico,Sandoval,498,24
Massachusetts,Berkshire,497,37
Arkansas,Jefferson,497,20
Georgia,Richmond,495,17
Tennessee,Williamson,492,10
Wisconsin,Waukesha,492,23
Colorado,Logan,488,3
Nebraska,Platte,481,1
Minnesota,Olmsted,479,10
Texas,Webb,479,18
Kentucky,Kenton,479,32
Kentucky,Muhlenberg,476,7
Oklahoma,Cleveland,470,36
New Jersey,Salem,470,21
Pennsylvania,Pike,469,17
Ohio,Trumbull,469,39
North Carolina,Randolph,469,6
Texas,Jefferson,466,26
North Carolina,Duplin,462,12
Georgia,Habersham,457,14
Missouri,Jackson,457,16
Texas,Hidalgo,457,10
Ohio,Columbiana,453,45
Virginia,Culpeper,452,5
Georgia,Muscogee,451,16
Alabama,Lee,450,31
North Carolina,Wilkes,448,1
Georgia,Douglas,445,19
New York,Rensselaer,444,32
Florida,Seminole,442,12
Indiana,Bartholomew,442,34
Texas,Walker,442,26
Vermont,Chittenden,439,38
Wisconsin,Rock,438,14
Indiana,Clark,437,43
Nebraska,Saline,436,1
New York,Saratoga,436,4
Illinois,Champaign,435,7
Mississippi,Forrest,435,29
California,Solano,435,16
Arizona,Yuma,433,4
Michigan,Monroe,433,18
Pennsylvania,Westmoreland,431,38
New York,Broome,429,36
Mississippi,Neshoba,429,25
Washington,Skagit,426,15
Rhode Island,Washington,425,32
Georgia,Sumter,421,39
Indiana,Porter,420,14
Minnesota,Kandiyohi,420,1
Virginia,Buckingham,419,2
Georgia,Carroll,418,21
Michigan,Jackson,418,26
Indiana,Shelby,417,28
California,Kings,416,2
Washington,Spokane,416,31
Hawaii,Honolulu,415,11
Georgia,Forsyth,412,11
Michigan,St. Clair,412,32
Washington,Clark,412,25
South Carolina,Spartanburg,411,13
California,Sonoma,411,4
Georgia,Bibb,411,18
Georgia,Bartow,410,35
Tennessee,Tipton,407,2
Iowa,Wapello,405,2
Mississippi,DeSoto,404,5
Tennessee,Hamilton,404,13
Alabama,Shelby,404,19
Utah,Summit,403,0
Tennessee,Lake,403,0
Virginia,Rockingham,401,5
Texas,Taylor,400,6
Minnesota,Washington,398,19
Virginia,Chesapeake city,396,10
Florida,Martin,396,8
Iowa,Crawford,394,1
Georgia,Mitchell,394,32
Florida,Charlotte,392,44
North Carolina,Cabarrus,389,21
Alabama,Tuscaloosa,387,8
Michigan,Livingston,385,26
Georgia,Chatham,379,16
Louisiana,Washington,375,34
Utah,Davis,373,2
Florida,Brevard,371,11
Alabama,Tallapoosa,371,57
Virginia,Norfolk city,370,6
Kansas,Lyon,369,3
Nebraska,Sarpy,366,2
North Carolina,Union,365,17
Alabama,Franklin,364,4
Mississippi,Leake,364,7
Arkansas,St. Francis,362,0
Iowa,Tama,362,18
Kentucky,Boone,361,11
Indiana,LaPorte,360,16
Washington,Whatcom,359,36
Mississippi,Jones,358,10
Louisiana,Iberia,358,35
Louisiana,Livingston,356,26
Maryland,Washington,352,8
New York,Columbia,350,32
Louisiana,Bossier,348,24
California,Monterey,345,8
Georgia,Lee,343,23
Ohio,Belmont,343,9
Texas,Brazos,341,18
Indiana,Jackson,340,2
Virginia,Spotsylvania,339,4
Florida,Alachua,339,7
Maryland,St. Mary's,338,12
Tennessee,Wilson,338,8
Florida,St. Lucie,337,28
Pennsylvania,Columbia,337,29
California,Marin,336,14
North Carolina,Lee,333,3
Idaho,Twin Falls,332,17
Ohio,Miami,332,30
Missouri,Jefferson,331,14
New Mexico,Doña Ana,330,2
Virginia,Shenandoah,329,12
Alabama,Chambers,329,22
Florida,Pasco,327,12
Connecticut,Windham,326,14
Illinois,Sangamon,323,28
South Carolina,Sumter,323,17
Georgia,Houston,323,16
Maryland,Cecil,323,18
Florida,Clay,321,25
Tennessee,Knox,320,5
Minnesota,Clay,318,21
North Dakota,Grand Forks,317,3
Iowa,Louisa,315,4
Indiana,Tippecanoe,315,2
Illinois,Boone,314,14
Mississippi,Holmes,310,20
Iowa,Scott,309,8
South Carolina,York,308,5
Michigan,Calhoun,308,19
Massachusetts,Franklin,308,45
Maine,York,307,8
Indiana,Floyd,306,40
North Carolina,Davidson,306,11
Indiana,Howard,306,15
Oklahoma,Washington,304,32
Indiana,Hancock,304,25
South Carolina,Horry,303,20
Florida,Leon,303,6
South Carolina,Beaufort,299,12
Tennessee,Robertson,298,0
Ohio,Portage,297,53
Indiana,Delaware,297,23
Kentucky,Daviess,296,6
Mississippi,Rankin,295,6
Alabama,Butler,295,10
North Carolina,Henderson,295,41
South Carolina,Clarendon,293,34
Georgia,Baldwin,292,14
Georgia,Thomas,289,30
Massachusetts,Unknown,288,3
Mississippi,Jackson,287,13
Georgia,Coweta,287,4
Wisconsin,Walworth,287,11
Tennessee,Putnam,286,5
Iowa,Dubuque,286,10
Ohio,Warren,285,15
Oregon,Clackamas,284,9
Louisiana,St. James,284,23
New Hampshire,Merrimack,283,12
North Carolina,Orange,283,37
Idaho,Canyon,280,6
Indiana,Boone,280,37
Nebraska,Madison,278,3
Alabama,Madison,278,4
Louisiana,St. Mary,277,29
Louisiana,St. Martin,275,22
Louisiana,Franklin,274,9
Nebraska,Dodge,274,1
South Carolina,Kershaw,272,12
Ohio,Tuscarawas,272,1
Minnesota,Scott,271,1
Minnesota,Rice,270,2
North Carolina,Johnston,269,19
Virginia,Suffolk city,269,25
Arizona,Yavapai,269,5
Illinois,DeKalb,268,4
Georgia,Barrow,267,8
Georgia,Upson,267,31
Georgia,Newton,266,10
Ohio,Delaware,266,9
Virginia,Richmond,265,4
North Carolina,Sampson,265,1
Arizona,Mohave,262,28
Alabama,Baldwin,262,8
Louisiana,Acadia,262,12
Texas,Bell,260,3
New York,Madison,260,3
Mississippi,Attala,259,9
Texas,Ellis,258,12
Georgia,Colquitt,258,11
Tennessee,Bedford,257,4
Indiana,Morgan,257,23
Ohio,Wood,257,43
Florida,Lake,257,14
Maryland,Calvert,256,13
Nebraska,Adams,255,11
Florida,Sumter,253,16
Missouri,Saline,253,0
North Carolina,Harnett,252,20
Georgia,Rockdale,252,8
North Carolina,Columbus,251,21
North Carolina,Wilson,251,9
Iowa,Jasper,250,14
Michigan,Bay,250,16
Texas,Nueces,248,3
Georgia,Paulding,247,10
California,San Luis Obispo,247,1
Georgia,Spalding,246,14
Louisiana,Union,245,15
Ohio,Ashtabula,244,26
Virginia,Fauquier,243,5
Texas,Nacogdoches,241,17
Arkansas,Crittenden,241,7
Florida,Gadsden,241,1
New Hampshire,Strafford,240,12
Texas,Hays,238,3
Illinois,Randolph,238,3
Utah,San Juan,238,4
Virginia,Portsmouth city,237,10
Louisiana,St. Landry,237,51
New York,Steuben,236,18
Michigan,Shiawassee,235,21
New York,Warren,235,27
Georgia,Early,234,28
Florida,St. Johns,233,5
Virginia,Hanover,232,19
Ohio,Lake,231,9
Indiana,Decatur,230,34
Louisiana,Assumption,230,11
Ohio,Medina,229,18
Oklahoma,Comanche,229,3
Wyoming,Fremont,228,5
South Carolina,Darlington,227,5
Washington,Grant,226,3
Ohio,Geauga,226,26
Texas,Coryell,226,2
Louisiana,De Soto,226,16
Indiana,Vanderburgh,226,3
Florida,Hendry,224,12
Utah,Weber,224,3
Florida,Marion,224,5
North Carolina,Alamance,223,12
Virginia,Frederick,223,3
West Virginia,Berkeley,223,6
California,Merced,222,6
North Carolina,Pitt,221,2
New York,Washington,220,11
Mississippi,Monroe,220,23
Colorado,Pueblo,219,14
Mississippi,Lincoln,218,18
Mississippi,Harrison,218,6
Connecticut,Unknown,218,2
Kentucky,Butler,217,6
Kentucky,Hopkins,217,28
Tennessee,Montgomery,216,2
Ohio,Fairfield,215,3
Alabama,Etowah,215,10
New York,Greene,214,4
Colorado,Broomfield,214,24
Utah,Washington,214,0
Pennsylvania,Carbon,214,22
Pennsylvania,Huntingdon,214,0
Georgia,Troup,213,6
Georgia,Fayette,212,11
Georgia,Columbia,212,6
Utah,Wasatch,212,1
South Carolina,Anderson,211,8
Virginia,Newport News city,209,10
Georgia,Coffee,209,12
Georgia,Lowndes,209,5
North Carolina,Gaston,208,6
Maryland,Caroline,208,0
Mississippi,Copiah,207,3
Alabama,Elmore,207,6
Ohio,Wayne,206,49
North Carolina,Burke,206,14
Pennsylvania,Butler,206,12
Alaska,Anchorage,206,4
South Dakota,Lincoln,205,0
South Dakota,Brown,205,0
Texas,Harrison,205,21
Virginia,Northampton,204,11
West Virginia,Kanawha,203,16
South Carolina,Berkeley,203,15
North Carolina,Granville,202,6
Virginia,Manassas Park city,202,3
Mississippi,Leflore,202,22
Indiana,Grant,201,21
Georgia,Worth,201,18
Georgia,Crisp,200,7
Georgia,Clarke,200,13
Mississippi,Lamar,199,4
Kansas,Shawnee,199,5
Georgia,Butts,199,17
Florida,Liberty,199,0
Georgia,Terrell,199,24
North Carolina,Iredell,199,5
North Carolina,Vance,197,17
Rhode Island,Newport,197,4
Louisiana,Plaquemines,196,16
Mississippi,Newton,196,3
Georgia,Floyd,195,13
Louisiana,Unknown,195,123
Alabama,DeKalb,195,3
Mississippi,Pearl River,195,27
Georgia,Whitfield,194,7
Pennsylvania,Adams,194,5
Texas,Smith,192,4
Mississippi,Yazoo,192,2
New York,St. Lawrence,192,2
Colorado,Summit,192,2
Ohio,Licking,190,9
Louisiana,West Feliciana,190,8
Virginia,James City,189,15
Illinois,McLean,189,6
Indiana,Montgomery,188,13
Georgia,Tift,188,14
Indiana,Wayne,188,5
Washington,Chelan,187,7
Florida,Santa Rosa,186,9
Illinois,Jackson,186,10
Indiana,White,186,5
California,Yolo,185,22
Michigan,Allegan,184,3
Illinois,Ogle,184,2
Mississippi,Pike,184,11
Texas,Washington,184,22
Wyoming,Laramie,183,2
Tennessee,Hardeman,183,0
New York,Genesee,182,4
New York,Fulton,182,11
Minnesota,Wright,182,1
North Carolina,Buncombe,182,6
South Carolina,Williamsburg,181,10
Washington,Island,181,10
Michigan,Lapeer,180,30
Florida,Okaloosa,179,5
Colorado,Gunnison,179,6
Louisiana,East Feliciana,179,24
Virginia,Mecklenburg,178,17
California,Placer,177,9
Mississippi,Adams,177,15
Georgia,Ware,177,13
Alabama,Coffee,175,1
Indiana,Harrison,175,19
Texas,Shelby,175,5
Iowa,Pottawattamie,174,2
South Carolina,Lee,174,11
Iowa,Washington,173,8
Texas,Gregg,173,0
Michigan,Tuscola,173,21
Louisiana,Pointe Coupee,173,21
Rhode Island,Bristol,172,1
Ohio,Allen,171,30
North Carolina,Edgecombe,170,8
Georgia,Hancock,170,6
Illinois,Macon,170,17
Georgia,Randolph,169,21
New York,Orleans,168,18
Florida,Flagler,167,4
Maryland,Allegany,166,14
Georgia,Walton,166,9
Illinois,Clinton,165,14
California,Santa Cruz,165,3
Illinois,Peoria,165,6
Maryland,Worcester,165,6
Indiana,Greene,165,24
Texas,Grayson,165,0
Michigan,Hillsdale,165,24
Michigan,Eaton,165,6
Virginia,Page,165,17
Ohio,Richland,165,2
Minnesota,Sherburne,164,2
Virginia,Hampton city,164,3
Tennessee,Madison,162,2
Texas,Panola,162,16
Georgia,Dooly,162,12
Indiana,Dubois,162,2
Texas,Johnson,161,4
Washington,Kitsap,161,2
Illinois,Stephenson,160,1
North Carolina,Lenoir,160,5
North Carolina,Hoke,160,0
Florida,Suwannee,160,18
Alabama,Dallas,159,3
Indiana,Dearborn,158,19
Texas,Victoria,157,7
South Carolina,Aiken,156,7
North Carolina,Nash,156,3
Ohio,Clermont,156,5
Wisconsin,Washington,155,4
Arkansas,Benton,155,0
Ohio,Clark,155,4
Texas,Kaufman,155,2
North Carolina,Rutherford,155,7
Kentucky,Graves,154,18
Texas,Angelina,154,1
Indiana,Noble,153,21
Indiana,Warrick,152,26
New York,Ontario,152,7
Indiana,Monroe,152,9
Arkansas,Washington,151,5
Maine,Androscoggin,151,2
Indiana,Clinton,150,2
Pennsylvania,Lycoming,149,9
Montana,Gallatin,149,1
Florida,Jackson,148,0
Texas,Bastrop,148,2
Alabama,Walker,148,1
Ohio,Mercer,148,2
Alabama,Sumter,148,4
Louisiana,West Baton Rouge,148,30
Pennsylvania,Erie,147,4
Florida,Hamilton,147,0
Arkansas,Craighead,147,0
Wisconsin,Outagamie,146,5
Iowa,Sioux,146,0
Wisconsin,Fond du Lac,145,3
Pennsylvania,Northumberland,145,2
Mississippi,Noxubee,145,4
Maryland,Kent,144,14
Minnesota,Benton,142,2
Indiana,Lawrence,142,23
New York,Tompkins,142,2
Virginia,Albemarle,141,4
Alabama,Houston,141,4
Michigan,Lenawee,140,3
Kentucky,Ohio,140,0
Indiana,Henry,140,4
Alabama,Lowndes,140,10
Texas,Bowie,137,11
Virginia,Southampton,137,2
Oklahoma,Wagoner,137,17
Colorado,Montrose,136,11
Nebraska,Buffalo,136,1
Texas,Rockwall,136,5
Michigan,Clinton,136,10
Kentucky,Campbell,135,11
Virginia,Roanoke city,135,8
West Virginia,Jackson,135,17
Missouri,Franklin,135,14
Mississippi,Warren,135,5
South Carolina,Fairfield,134,8
New York,Chemung,134,5
Georgia,Jackson,134,3
Florida,Putnam,134,3
North Carolina,New Hanover,134,3
Texas,Deaf Smith,133,7
Alabama,Calhoun,133,3
North Carolina,Craven,133,4
Maryland,Queen Anne's,133,11
Indiana,Miami,132,1
South Carolina,Dillon,132,2
Pennsylvania,Centre,132,5
Mississippi,Lowndes,132,6
Georgia,Gordon,132,15
Washington,Douglas,131,3
Louisiana,Allen,131,10
Georgia,Decatur,131,4
North Carolina,Northampton,131,10
Pennsylvania,Washington,130,5
Arkansas,Unknown,130,0
Arkansas,Garland,130,1
Mississippi,Bolivar,129,10
North Carolina,Franklin,129,20
Texas,Titus,129,1
Minnesota,Carver,128,2
Mississippi,Washington,128,4
Indiana,Putnam,128,6
Texas,Ector,127,4
Washington,Thurston,127,1
Alabama,Autauga,127,4
New Mexico,Santa Fe,126,3
Ohio,Darke,126,16
Wisconsin,Winnebago,126,1
Illinois,Whiteside,126,9
Tennessee,McMinn,125,12
Wisconsin,Ozaukee,125,11
Ohio,Erie,124,3
Indiana,Orange,124,21
South Carolina,Saluda,123,0
Minnesota,Martin,123,5
Missouri,Clay,123,1
Michigan,Ionia,123,3
Texas,Midland,122,12
Illinois,Union,122,4
Louisiana,Lincoln,122,14
Oklahoma,Caddo,122,10
Georgia,Calhoun,122,6
Maryland,Dorchester,122,2
Illinois,LaSalle,121,8
Oklahoma,Canadian,120,3
Texas,Hardin,120,4
Mississippi,Smith,120,9
Alabama,Randolph,120,7
Maine,Kennebec,120,8
Indiana,Vigo,120,7
Illinois,Iroquois,119,4
Louisiana,Webster,119,5
Virginia,Isle of Wight,119,3
Alabama,Morgan,119,1
Indiana,Jennings,119,6
North Carolina,Halifax,119,1
North Carolina,Moore,119,10
Georgia,Burke,118,4
New York,Chenango,118,2
North Carolina,Yadkin,118,1
Iowa,Buena Vista,117,0
Hawaii,Maui,117,6
North Dakota,Burleigh,117,0
Arkansas,Union,117,4
North Carolina,Catawba,117,3
Alabama,Lauderdale,116,2
Alabama,Marengo,116,6
Mississippi,Jasper,116,3
West Virginia,Monongalia,116,5
Mississippi,Chickasaw,116,12
Ohio,Washington,116,17
Texas,Lamar,116,9
Georgia,Gilmer,116,0
Michigan,Van Buren,116,6
Texas,Jones,115,0
Minnesota,Steele,115,0
North Carolina,Richmond,115,2
Colorado,Garfield,115,2
Iowa,Allamakee,115,4
South Carolina,Orangeburg,115,2
Florida,Citrus,114,12
Georgia,Stephens,114,2
South Carolina,Dorchester,114,3
Georgia,Appling,113,11
Florida,Columbia,113,2
Mississippi,Clarke,113,14
New York,Tioga,113,16
Missouri,Greene,111,8
Indiana,Franklin,111,8
New York,Livingston,111,4
Illinois,Warren,110,0
Texas,Guadalupe,110,0
Alabama,Pike,110,0
Pennsylvania,Wayne,110,7
New Mexico,Cibola,110,4
Mississippi,Carroll,110,8
Mississippi,Covington,110,1
Florida,Hernando,109,5
Kentucky,Grayson,109,8
Wisconsin,Dodge,109,1
Mississippi,Lafayette,109,3
Tennessee,Unknown,109,0
Oregon,Linn,109,9
Alabama,Russell,109,0
Florida,Indian River,108,9
Louisiana,Richland,108,2
South Carolina,Lancaster,108,5
Oregon,Deschutes,107,0
Mississippi,Oktibbeha,107,8
Indiana,Ripley,107,6
Florida,Highlands,107,8
Minnesota,St. Louis,107,13
Louisiana,Catahoula,106,3
Alabama,Marion,106,9
Missouri,Boone,106,1
Washington,Walla Walla,106,2
Idaho,Jerome,105,2
Mississippi,Kemper,105,10
Utah,Tooele,103,0
Virginia,Warren,103,2
Louisiana,Natchitoches,103,12
West Virginia,Jefferson,102,1
Georgia,Monroe,102,7
South Carolina,Chesterfield,101,1
Ohio,Morrow,101,1
Oregon,Umatilla,101,3
Virginia,Fredericksburg city,101,0
North Carolina,Surry,101,1
Wyoming,Teton,100,1
Ohio,Madison,100,6
Illinois,Jefferson,100,17
Vermont,Franklin,99,5
Florida,Monroe,99,3
Kentucky,Bullitt,99,4
Indiana,Scott,99,2
New Mexico,Otero,99,1
Michigan,Otsego,99,10
New York,Wayne,98,1
Virginia,Sussex,98,1
Alabama,Colbert,98,2
Kentucky,Christian,98,3
Georgia,Laurens,98,1
Kentucky,Logan,98,3
Texas,McLennan,98,4
Ohio,Crawford,98,2
Arizona,Santa Cruz,97,0
